fileId,commitId,filePath,algorithm,startPos,isSrc,stmtType,srcStmtLine,dstStmtLine,stmt-inaccurate,token-inaccurate,
1,b3bbb9c2eae1967251f3e533ba1df54ff1c62567,activemq-core/src/main/java/org/apache/activemq/store/kahadaptor/KahaTopicReferenceStore.java,gt,5536,1,VariableDeclarationStatement,121,120,0,0,
1,b3bbb9c2eae1967251f3e533ba1df54ff1c62567,activemq-core/src/main/java/org/apache/activemq/store/kahadaptor/KahaTopicReferenceStore.java,mtdiff,5536,1,VariableDeclarationStatement,121,-1,1,,
2,4a01e40cb40f82b10f794ea5466f751eedf7f7f9,activemq-runtime-config/src/test/java/org/apache/activemq/RuntimeConfigTestSupport.java,gt,2672,0,ExpressionStatement,59,60,1,,
2,4a01e40cb40f82b10f794ea5466f751eedf7f7f9,activemq-runtime-config/src/test/java/org/apache/activemq/RuntimeConfigTestSupport.java,mtdiff,2672,0,ExpressionStatement,-1,60,0,0,
2,4a01e40cb40f82b10f794ea5466f751eedf7f7f9,activemq-runtime-config/src/test/java/org/apache/activemq/RuntimeConfigTestSupport.java,ijm,2672,0,ExpressionStatement,-1,60,0,1,
3,f451ad04bf1237dee259ea9caeb5a53b0d9d5f3a,activemq-core/src/main/java/org/apache/activemq/transport/activeio/ActiveIOTransport.java,gt,1844,1,ExpressionStatement,53,54,0,1,
3,f451ad04bf1237dee259ea9caeb5a53b0d9d5f3a,activemq-core/src/main/java/org/apache/activemq/transport/activeio/ActiveIOTransport.java,ijm,1844,1,ExpressionStatement,53,54,0,0,
4,54bce47a81a85062c43c55f9c35a43e43963534c,activemq-core/src/main/java/org/apache/activemq/util/IdGenerator.java,gt,3231,0,ReturnStatement,99,105,0,0,
4,54bce47a81a85062c43c55f9c35a43e43963534c,activemq-core/src/main/java/org/apache/activemq/util/IdGenerator.java,mtdiff,3231,0,ReturnStatement,99,105,0,1,
4,54bce47a81a85062c43c55f9c35a43e43963534c,activemq-core/src/main/java/org/apache/activemq/util/IdGenerator.java,ijm,3231,0,ReturnStatement,-1,105,0,1,
5,1236bbf6f455f429d3c1c5996474381a6a649d4e,activemq-core/src/test/java/org/apache/activemq/transport/stomp/StompNIOSSLTest.java,gt,1738,1,MethodDeclaration,39,40,0,0,
5,1236bbf6f455f429d3c1c5996474381a6a649d4e,activemq-core/src/test/java/org/apache/activemq/transport/stomp/StompNIOSSLTest.java,mtdiff,1738,1,MethodDeclaration,39,40,0,1,
5,1236bbf6f455f429d3c1c5996474381a6a649d4e,activemq-core/src/test/java/org/apache/activemq/transport/stomp/StompNIOSSLTest.java,ijm,1738,1,MethodDeclaration,39,-1,0,1,
6,c59246d5edc68539bcfdd327b43c98c0f45e8fa9,activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java,gt,63854,1,VariableDeclarationStatement,1604,1604,0,0,
6,c59246d5edc68539bcfdd327b43c98c0f45e8fa9,activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java,ijm,63854,1,VariableDeclarationStatement,1604,1604,0,1,
7,b852dc87fc1c2fbed98c6711fe562e2689384077,activemq-core/src/main/java/org/apache/activemq/store/jdbc/DefaultDatabaseLocker.java,gt,2337,0,ThrowStatement,65,63,0,0,
7,b852dc87fc1c2fbed98c6711fe562e2689384077,activemq-core/src/main/java/org/apache/activemq/store/jdbc/DefaultDatabaseLocker.java,mtdiff,2337,0,ThrowStatement,65,63,0,1,
8,6a6ef45ee04d332ed3905f79ea87527fa6264d94,activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/AmqpProtocolConverter.java,gt,65121,1,ExpressionStatement,1495,-1,0,1,
8,6a6ef45ee04d332ed3905f79ea87527fa6264d94,activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/AmqpProtocolConverter.java,mtdiff,65121,1,ExpressionStatement,1495,-1,0,0,
8,6a6ef45ee04d332ed3905f79ea87527fa6264d94,activemq-amqp/src/main/java/org/apache/activemq/transport/amqp/AmqpProtocolConverter.java,ijm,65121,1,ExpressionStatement,1495,-1,0,1,
9,902a8ea864d4a8bda65d7ea76f12411f3104202d,activemq-core/src/main/java/org/apache/activemq/network/jms/InboundTopicBridge.java,gt,1252,0,ExpressionStatement,36,37,0,0,
9,902a8ea864d4a8bda65d7ea76f12411f3104202d,activemq-core/src/main/java/org/apache/activemq/network/jms/InboundTopicBridge.java,mtdiff,1252,0,ExpressionStatement,-1,37,0,1,
10,4f7aeecc1e4ddef019fce57ce474d7f78dcd4552,activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/CompositeDestinationInterceptor.java,gt,1984,1,VariableDeclarationStatement,50,54,0,1,
10,4f7aeecc1e4ddef019fce57ce474d7f78dcd4552,activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/CompositeDestinationInterceptor.java,mtdiff,1984,1,VariableDeclarationStatement,50,54,0,1,
10,4f7aeecc1e4ddef019fce57ce474d7f78dcd4552,activemq-core/src/main/java/org/apache/activemq/broker/region/virtual/CompositeDestinationInterceptor.java,ijm,1984,1,VariableDeclarationStatement,50,54,0,0,
11,709204d8ed1c0a637fb1024aa1394cc1fcc10b7c,activemq-client/src/main/java/org/apache/activemq/thread/Scheduler.java,gt,1375,1,Block,38,-1,1,0,
11,709204d8ed1c0a637fb1024aa1394cc1fcc10b7c,activemq-client/src/main/java/org/apache/activemq/thread/Scheduler.java,ijm,1375,1,Block,38,39,0,0,
12,6da08b245e8b5c728d2fb0795ad922ccc99baf41,activemq-broker/src/main/java/org/apache/activemq/broker/region/virtual/VirtualTopicInterceptor.java,gt,5222,1,Block,114,123,1,,
12,6da08b245e8b5c728d2fb0795ad922ccc99baf41,activemq-broker/src/main/java/org/apache/activemq/broker/region/virtual/VirtualTopicInterceptor.java,mtdiff,5222,1,Block,114,101,1,,
13,021c82859cf4361eb31b21fdbac17655ae9e368d,activemq-broker/src/main/java/org/apache/activemq/broker/region/Queue.java,gt,80084,1,ExpressionStatement,1876,-1,0,0,
13,021c82859cf4361eb31b21fdbac17655ae9e368d,activemq-broker/src/main/java/org/apache/activemq/broker/region/Queue.java,mtdiff,80084,1,ExpressionStatement,1876,1872,1,,
14,540dd5c987855fc6b0981ece021358645ae07827,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java,gt,7034,1,ReturnStatement,205,186,0,0,
14,540dd5c987855fc6b0981ece021358645ae07827,activemq-ra/src/main/java/org/apache/activemq/ra/ActiveMQEndpointWorker.java,ijm,7034,1,ReturnStatement,205,-1,1,,
15,9a8f6e415db43a4e43ad42a87b3617b3641aa07d,activemq-core/src/main/java/org/apache/activemq/broker/util/RedeliveryPlugin.java,gt,8260,0,ExpressionStatement,166,168,0,0,
15,9a8f6e415db43a4e43ad42a87b3617b3641aa07d,activemq-core/src/main/java/org/apache/activemq/broker/util/RedeliveryPlugin.java,mtdiff,8260,0,ExpressionStatement,166,168,0,1,
16,04ee70a161b463f69692debea623d754a5c781c2,activemq-client/src/main/java/org/apache/activemq/transport/nio/NIOSSLTransport.java,gt,2767,0,MethodDeclaration,72,72,0,0,
16,04ee70a161b463f69692debea623d754a5c781c2,activemq-client/src/main/java/org/apache/activemq/transport/nio/NIOSSLTransport.java,mtdiff,2767,0,MethodDeclaration,72,72,0,0,
17,e500f2ecc4854d841e6e1e52e2e13bdb83c346bb,activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java,gt,61369,0,Block,1497,1499,0,0,
17,e500f2ecc4854d841e6e1e52e2e13bdb83c346bb,activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java,mtdiff,61369,0,Block,-1,1499,1,,
18,bebffd0e8f56025c46da9376291126393db9424e,activemq-unit-tests/src/test/java/org/apache/activemq/console/command/TestPurgeCommand.java,gt,8993,0,VariableDeclarationStatement,231,227,0,0,
18,bebffd0e8f56025c46da9376291126393db9424e,activemq-unit-tests/src/test/java/org/apache/activemq/console/command/TestPurgeCommand.java,mtdiff,8993,0,VariableDeclarationStatement,231,227,0,1,
19,ba2447e39ad513ff1a37833887cfd2e9bf49a0b5,activemq-http/src/main/java/org/apache/activemq/transport/WebTransportServerSupport.java,gt,2511,1,ExpressionStatement,67,99,0,0,
19,ba2447e39ad513ff1a37833887cfd2e9bf49a0b5,activemq-http/src/main/java/org/apache/activemq/transport/WebTransportServerSupport.java,mtdiff,2511,1,ExpressionStatement,67,65,1,,
20,6519c3e2327930500912bdcc68098f28d366449b,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractStoreCursor.java,gt,6002,1,IfStatement,179,179,0,0,
20,6519c3e2327930500912bdcc68098f28d366449b,activemq-core/src/main/java/org/apache/activemq/broker/region/cursors/AbstractStoreCursor.java,mtdiff,6002,1,IfStatement,179,179,0,1,
21,409a8e06c9f2ec5aa0d9db8a3d413f394c290f6d,src/main/java/org/junit/experimental/results/PrintableResult.java,gt,363,0,MethodDeclaration,16,17,0,0,
21,409a8e06c9f2ec5aa0d9db8a3d413f394c290f6d,src/main/java/org/junit/experimental/results/PrintableResult.java,mtdiff,363,0,MethodDeclaration,-1,17,1,,
21,409a8e06c9f2ec5aa0d9db8a3d413f394c290f6d,src/main/java/org/junit/experimental/results/PrintableResult.java,ijm,363,0,MethodDeclaration,-1,17,1,,
22,521fdb5aae536bd5055f6d0e4f09c5a7bdb5799f,src/org/junit/runners/Suite.java,gt,1776,0,MethodDeclaration,50,49,0,0,
22,521fdb5aae536bd5055f6d0e4f09c5a7bdb5799f,src/org/junit/runners/Suite.java,mtdiff,1776,0,MethodDeclaration,50,49,0,1,
23,4d1d0bb9ee6926b5a85ebc2ad077eb31f94e1181,src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java,gt,1925,0,ExpressionStatement,60,60,0,0,
23,4d1d0bb9ee6926b5a85ebc2ad077eb31f94e1181,src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java,mtdiff,1925,0,ExpressionStatement,63,60,1,,
24,0cdf29715af64edd05229c400f214417fecdef89,junit/framework/TestSuite.java,gt,2585,1,MethodDeclaration,81,81,0,0,
24,0cdf29715af64edd05229c400f214417fecdef89,junit/framework/TestSuite.java,mtdiff,2585,1,MethodDeclaration,81,81,0,0,
25,409a8e06c9f2ec5aa0d9db8a3d413f394c290f6d,src/test/java/org/junit/tests/running/classes/TestClassTest.java,gt,1252,0,FieldDeclaration,77,77,0,0,
25,409a8e06c9f2ec5aa0d9db8a3d413f394c290f6d,src/test/java/org/junit/tests/running/classes/TestClassTest.java,ijm,1252,0,FieldDeclaration,77,77,0,1,
26,0a2601045f101930d0ca7f31c53b416fafbbe7a7,src/main/java/org/junit/rules/TimeWatcher.java,gt,2859,0,ReturnStatement,104,104,0,0,
26,0a2601045f101930d0ca7f31c53b416fafbbe7a7,src/main/java/org/junit/rules/TimeWatcher.java,mtdiff,2859,0,ReturnStatement,104,104,0,1,
27,6acc164b4125da775cccd4035c1b99e9d404bacd,src/org/junit/tests/AssertionTest.java,gt,4287,0,MethodDeclaration,-1,126,0,1,
27,6acc164b4125da775cccd4035c1b99e9d404bacd,src/org/junit/tests/AssertionTest.java,mtdiff,4287,0,MethodDeclaration,-1,126,0,1,
27,6acc164b4125da775cccd4035c1b99e9d404bacd,src/org/junit/tests/AssertionTest.java,ijm,4287,0,MethodDeclaration,-1,126,0,0,
28,8226e3e64a7d4ace29eb08ab6c9fc9d4055f20c9,src/org/junit/runners/Parameterized.java,gt,4708,1,VariableDeclarationStatement,166,-1,0,0,
28,8226e3e64a7d4ace29eb08ab6c9fc9d4055f20c9,src/org/junit/runners/Parameterized.java,ijm,4708,1,VariableDeclarationStatement,166,-1,0,1,
29,d3ee5d06c0b797ce812cbfe35addc6146d5f07cb,src/main/java/org/junit/runners/ParentRunner.java,gt,6972,0,MethodDeclaration,-1,165,0,1,
29,d3ee5d06c0b797ce812cbfe35addc6146d5f07cb,src/main/java/org/junit/runners/ParentRunner.java,mtdiff,6972,0,MethodDeclaration,-1,165,0,0,
30,1887122f99b3c7bf417ee4172aa662a70d55077b,src/test/java/junit/samples/ListTest.java,gt,857,1,ExpressionStatement,37,37,0,0,
30,1887122f99b3c7bf417ee4172aa662a70d55077b,src/test/java/junit/samples/ListTest.java,ijm,857,1,ExpressionStatement,37,37,0,1,
31,01b427b3b89ce04d01f0ddbd746d13a175feec5b,src/main/java/org/junit/experimental/results/PrintableResult.java,gt,1009,1,ConstructorInvocation,43,-1,0,1,
31,01b427b3b89ce04d01f0ddbd746d13a175feec5b,src/main/java/org/junit/experimental/results/PrintableResult.java,mtdiff,1009,1,ConstructorInvocation,43,-1,0,1,
31,01b427b3b89ce04d01f0ddbd746d13a175feec5b,src/main/java/org/junit/experimental/results/PrintableResult.java,ijm,1009,1,ConstructorInvocation,43,-1,0,0,
32,627b85abfd9c1f6c69b14f9d33fb292868fe6826,src/main/java/org/junit/Assert.java,gt,40462,0,ThrowStatement,1023,1030,0,0,
32,627b85abfd9c1f6c69b14f9d33fb292868fe6826,src/main/java/org/junit/Assert.java,mtdiff,40462,0,ThrowStatement,1023,1030,0,1,
33,5f25ca318bc2b35ecf8526c08a1e3b3e17d375da,src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java,gt,6508,0,ReturnStatement,202,203,0,1,
33,5f25ca318bc2b35ecf8526c08a1e3b3e17d375da,src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java,ijm,6508,0,ReturnStatement,202,203,0,1,
34,df00d5eced3a7737b88de0f6f9e3673f0cf88f88,src/main/java/org/junit/rules/Timeout.java,gt,2709,1,ExpressionStatement,86,86,0,0,
34,df00d5eced3a7737b88de0f6f9e3673f0cf88f88,src/main/java/org/junit/rules/Timeout.java,mtdiff,2709,1,ExpressionStatement,86,86,0,1,
35,6acc164b4125da775cccd4035c1b99e9d404bacd,src/org/junit/internal/runners/JUnit4ClassRunner.java,gt,2693,0,ReturnStatement,86,92,0,1,
35,6acc164b4125da775cccd4035c1b99e9d404bacd,src/org/junit/internal/runners/JUnit4ClassRunner.java,mtdiff,2693,0,ReturnStatement,86,92,0,1,
35,6acc164b4125da775cccd4035c1b99e9d404bacd,src/org/junit/internal/runners/JUnit4ClassRunner.java,ijm,2693,0,ReturnStatement,86,92,0,1,
36,b0c0b79ae5e0dcfc1670cf950d31a14f1c9c630c,org/junit/Assert.java,gt,2899,0,ThrowStatement,94,95,0,0,
36,b0c0b79ae5e0dcfc1670cf950d31a14f1c9c630c,org/junit/Assert.java,mtdiff,2899,0,ThrowStatement,94,95,0,1,
37,b0b1c80075abf53597839e6bb430804b17d5c24a,src/test/java/org/junit/tests/experimental/theories/runner/WithOnlyTestAnnotations.java,gt,949,1,ExpressionStatement,28,28,0,1,
37,b0b1c80075abf53597839e6bb430804b17d5c24a,src/test/java/org/junit/tests/experimental/theories/runner/WithOnlyTestAnnotations.java,mtdiff,949,1,ExpressionStatement,28,28,0,0,
38,99b0ebc70e061d7620179f4e72e735e3944e54cd,src/test/java/org/junit/tests/experimental/rules/MethodRulesTest.java,gt,2799,1,MethodDeclaration,95,94,0,0,
38,99b0ebc70e061d7620179f4e72e735e3944e54cd,src/test/java/org/junit/tests/experimental/rules/MethodRulesTest.java,mtdiff,2799,1,MethodDeclaration,95,302,1,,
39,5da2d76bcf619ac0bd8c6ff5f6fc6b807978da8a,src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,gt,301,0,MethodDeclaration,12,12,0,0,
39,5da2d76bcf619ac0bd8c6ff5f6fc6b807978da8a,src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,ijm,301,0,MethodDeclaration,12,12,0,1,
40,df00d5eced3a7737b88de0f6f9e3673f0cf88f88,src/main/java/org/junit/internal/requests/SortingRequest.java,gt,473,0,ExpressionStatement,16,16,0,0,
40,df00d5eced3a7737b88de0f6f9e3673f0cf88f88,src/main/java/org/junit/internal/requests/SortingRequest.java,ijm,473,0,ExpressionStatement,16,16,0,1,
41,e4c65e5424fe7a7c9795348fc855d42a247f0c00,src/test/java/org/apache/commons/io/input/XmlStreamReaderTest.java,gt,12886,0,ExpressionStatement,-1,262,0,0,
41,e4c65e5424fe7a7c9795348fc855d42a247f0c00,src/test/java/org/apache/commons/io/input/XmlStreamReaderTest.java,mtdiff,12886,0,ExpressionStatement,156,262,1,,
42,e9814310ee45df69b8ec51581c811e2d584f172e,src/main/java/org/apache/commons/io/FileUtils.java,gt,11479,0,IfStatement,327,327,0,0,
42,e9814310ee45df69b8ec51581c811e2d584f172e,src/main/java/org/apache/commons/io/FileUtils.java,ijm,11479,0,IfStatement,-1,327,0,1,
43,4d49a1953e287fffbd10ba2707ed1b3806eef21b,src/test/java/org/apache/commons/io/FileUtilsListFilesTestCase.java,gt,1653,0,MethodDeclaration,44,48,0,0,
43,4d49a1953e287fffbd10ba2707ed1b3806eef21b,src/test/java/org/apache/commons/io/FileUtilsListFilesTestCase.java,mtdiff,1653,0,MethodDeclaration,44,48,0,1,_____
44,aad6359c39d59176c51e0d4e5ee31def1bc10077,src/main/java/org/apache/commons/io/output/TeeOutputStream.java,gt,3144,0,Block,94,101,0,0,
44,aad6359c39d59176c51e0d4e5ee31def1bc10077,src/main/java/org/apache/commons/io/output/TeeOutputStream.java,mtdiff,3144,0,Block,-1,101,0,0,
45,55bae88d398feed4a3008ec5e97eb8b85c983b1e,src/test/java/org/apache/commons/io/IOUtilsTestCase.java,gt,10257,0,ExpressionStatement,296,296,0,0,
45,55bae88d398feed4a3008ec5e97eb8b85c983b1e,src/test/java/org/apache/commons/io/IOUtilsTestCase.java,ijm,10257,0,ExpressionStatement,296,296,0,0,
46,4d49a1953e287fffbd10ba2707ed1b3806eef21b,src/test/java/org/apache/commons/io/comparator/DirectoryFileComparatorTest.java,gt,1824,1,MethodDeclaration,51,43,0,0,
46,4d49a1953e287fffbd10ba2707ed1b3806eef21b,src/test/java/org/apache/commons/io/comparator/DirectoryFileComparatorTest.java,ijm,1824,1,MethodDeclaration,51,43,0,1,
47,79b4df582d0035e196d4dc10894778fae58311ce,src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java,gt,2654,0,TryStatement,73,67,0,1,
47,79b4df582d0035e196d4dc10894778fae58311ce,src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java,mtdiff,2654,0,TryStatement,73,67,0,1,
47,79b4df582d0035e196d4dc10894778fae58311ce,src/test/java/org/apache/commons/io/comparator/SizeFileComparatorTest.java,ijm,2654,0,TryStatement,73,67,0,1,
48,79c97ab6a11d8c67914982bf2efdc82009de977b,src/java/org/apache/commons/io/filefilter/MagicNumberFileFilter.java,gt,7125,0,IfStatement,202,202,0,0,
48,79c97ab6a11d8c67914982bf2efdc82009de977b,src/java/org/apache/commons/io/filefilter/MagicNumberFileFilter.java,mtdiff,7125,0,IfStatement,-1,202,1,,
49,6b57d2a14089735cf1c653a2717d05023a3be441,src/test/java/org/apache/commons/io/input/BoundedReaderTest.java,gt,5397,1,ExpressionStatement,189,190,0,0,
49,6b57d2a14089735cf1c653a2717d05023a3be441,src/test/java/org/apache/commons/io/input/BoundedReaderTest.java,mtdiff,5397,1,ExpressionStatement,189,189,0,0,
50,8841ea9bd4c4519c95e2ec0c7699c587baae2da4,src/test/org/apache/commons/io/LineIteratorTestCase.java,gt,10444,0,VariableDeclarationStatement,332,331,0,1,
50,8841ea9bd4c4519c95e2ec0c7699c587baae2da4,src/test/org/apache/commons/io/LineIteratorTestCase.java,mtdiff,10444,0,VariableDeclarationStatement,332,331,0,0,
50,8841ea9bd4c4519c95e2ec0c7699c587baae2da4,src/test/org/apache/commons/io/LineIteratorTestCase.java,ijm,10444,0,VariableDeclarationStatement,332,331,0,1,
