fileId,commitId,filePath,algorithm,startPos,isSrc,stmtType,srcStmtLine,dstStmtLine,stmt-inaccurate,token-inaccurate
51,f992185eafa1610f505c97eb6188650feeede226,src/test/org/apache/commons/io/comparator/LastModifiedFileComparatorTest.java,gt,2137,1,DoStatement,67,78,0,1
51,f992185eafa1610f505c97eb6188650feeede226,src/test/org/apache/commons/io/comparator/LastModifiedFileComparatorTest.java,mtdiff,2137,1,DoStatement,67,78,0,1
52,f5c7e09482c838b61e032db4efefd0dcd183fa4f,src/test/java/org/apache/commons/io/input/ReaderInputStreamTest.java,gt,4304,0,ExpressionStatement,114,116,0,0
52,f5c7e09482c838b61e032db4efefd0dcd183fa4f,src/test/java/org/apache/commons/io/input/ReaderInputStreamTest.java,mtdiff,4304,0,ExpressionStatement,-1,116,1,1
53,6aa00766b9103d75c763160280429af8e1f0549e,src/main/java/org/apache/commons/io/input/Tailer.java,gt,16041,1,MethodDeclaration,431,431,0,1
53,6aa00766b9103d75c763160280429af8e1f0549e,src/main/java/org/apache/commons/io/input/Tailer.java,mtdiff,16041,1,MethodDeclaration,431,431,0,0
54,d4c5044c7b7697d944a444470a296dcd15911595,src/java/org/apache/commons/io/FilenameUtils.java,gt,43690,1,ForStatement,1138,-1,1,1
54,d4c5044c7b7697d944a444470a296dcd15911595,src/java/org/apache/commons/io/FilenameUtils.java,mtdiff,43690,1,ForStatement,1138,-1,1,1
54,d4c5044c7b7697d944a444470a296dcd15911595,src/java/org/apache/commons/io/FilenameUtils.java,ijm,43690,1,ForStatement,1138,-1,1,1
55,d5e24a4f1a2ff0e5c565f5b78fc0691e639b876e,src/java/org/apache/commons/io/FilenameUtils.java,gt,14581,0,MethodDeclaration,448,448,0,1
55,d5e24a4f1a2ff0e5c565f5b78fc0691e639b876e,src/java/org/apache/commons/io/FilenameUtils.java,mtdiff,14581,0,MethodDeclaration,448,448,0,0
56,0ac9cccd34c88c2421550cfd30ec7cc2af62e3c3,src/main/java/org/apache/commons/io/input/XmlStreamReader.java,gt,20110,0,ThrowStatement,517,517,0,1
56,0ac9cccd34c88c2421550cfd30ec7cc2af62e3c3,src/main/java/org/apache/commons/io/input/XmlStreamReader.java,mtdiff,20110,0,ThrowStatement,517,517,0,0
57,c395904915ca330d8944d74f9502c0f4bcf65907,src/main/java/org/apache/commons/io/input/Tailer.java,gt,12162,1,ExpressionStatement,359,430,0,0
57,c395904915ca330d8944d74f9502c0f4bcf65907,src/main/java/org/apache/commons/io/input/Tailer.java,mtdiff,12162,1,ExpressionStatement,359,420,1,1
58,4a92373a2418adac401cc25e1316a059e9c3233b,src/java/org/apache/commons/io/output/ProxyWriter.java,gt,1627,0,ExpressionStatement,46,48,0,0
58,4a92373a2418adac401cc25e1316a059e9c3233b,src/java/org/apache/commons/io/output/ProxyWriter.java,ijm,1627,0,ExpressionStatement,46,48,0,1
59,6d8ef99f2ed43b9f71005561af57e50c3b24f7d0,src/main/java/org/apache/commons/io/input/Tailer.java,gt,7940,1,Block,220,246,1,0
59,6d8ef99f2ed43b9f71005561af57e50c3b24f7d0,src/main/java/org/apache/commons/io/input/Tailer.java,ijm,7940,1,Block,220,229,0,0
60,328a7efc17e8c77853fea42a84808dd1d26c8d5a,src/test/org/apache/commons/io/FileCleaningTrackerTestCase.java,gt,10663,0,VariableDeclarationStatement,295,298,1,1
60,328a7efc17e8c77853fea42a84808dd1d26c8d5a,src/test/org/apache/commons/io/FileCleaningTrackerTestCase.java,mtdiff,10663,0,VariableDeclarationStatement,295,298,1,1
60,328a7efc17e8c77853fea42a84808dd1d26c8d5a,src/test/org/apache/commons/io/FileCleaningTrackerTestCase.java,ijm,10663,0,VariableDeclarationStatement,295,298,1,1
61,6349c0d097b306020b25f84f59b654b88b37dc79,src/test/org/apache/commons/lang/time/DateUtilsTest.java,gt,54885,0,VariableDeclarationStatement,1204,1204,0,0
61,6349c0d097b306020b25f84f59b654b88b37dc79,src/test/org/apache/commons/lang/time/DateUtilsTest.java,ijm,54885,0,VariableDeclarationStatement,1204,1204,0,1
62,4b1702489cad32b8a4514a1a5e57535383c0cfe9,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,gt,110931,0,ExpressionStatement,2591,2591,0,1
62,4b1702489cad32b8a4514a1a5e57535383c0cfe9,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,ijm,110931,0,ExpressionStatement,2591,2591,0,1
63,4f82195afdc4279c05826fc20f8642bfdaaafec3,src/main/java/org/apache/commons/lang3/ClassUtils.java,gt,19562,1,VariableDeclarationStatement,524,524,0,1
63,4f82195afdc4279c05826fc20f8642bfdaaafec3,src/main/java/org/apache/commons/lang3/ClassUtils.java,mtdiff,19562,1,VariableDeclarationStatement,524,524,0,0
64,1b85d8ba9e7bea6e4c7742b57bf71c38f1bf0a27,src/java/org/apache/commons/lang3/time/DateUtils.java,gt,11464,0,ExpressionStatement,294,302,0,0
64,1b85d8ba9e7bea6e4c7742b57bf71c38f1bf0a27,src/java/org/apache/commons/lang3/time/DateUtils.java,mtdiff,11464,0,ExpressionStatement,-1,302,1,1
64,1b85d8ba9e7bea6e4c7742b57bf71c38f1bf0a27,src/java/org/apache/commons/lang3/time/DateUtils.java,ijm,11464,0,ExpressionStatement,294,302,0,1
65,3dbb90fe5878a4f7efc3b68191bdc4a3546113cc,src/java/org/apache/commons/lang/enums/ValuedEnum.java,gt,4805,1,Block,136,137,1,0
65,3dbb90fe5878a4f7efc3b68191bdc4a3546113cc,src/java/org/apache/commons/lang/enums/ValuedEnum.java,mtdiff,4805,1,Block,136,136,0,0
65,3dbb90fe5878a4f7efc3b68191bdc4a3546113cc,src/java/org/apache/commons/lang/enums/ValuedEnum.java,ijm,4805,1,Block,136,-1,1,0
66,5292526e476ffbb19c6613a98464054236c86ace,src/test/java/org/apache/commons/lang3/CharSetTest.java,gt,15123,0,VariableDeclarationStatement,374,374,0,1
66,5292526e476ffbb19c6613a98464054236c86ace,src/test/java/org/apache/commons/lang3/CharSetTest.java,mtdiff,15123,0,VariableDeclarationStatement,374,374,0,0
67,3a818ed6a833f083a2db9bb6804c1bdb43b9b0ec,src/test/java/org/apache/commons/lang3/ValidateTest.java,gt,25323,0,VariableDeclarationStatement,724,724,0,0
67,3a818ed6a833f083a2db9bb6804c1bdb43b9b0ec,src/test/java/org/apache/commons/lang3/ValidateTest.java,ijm,25323,0,VariableDeclarationStatement,724,724,0,1
68,2c0429aabd2632c8c6a242e4a23d5eb6f46035c0,src/main/java/org/apache/commons/lang3/StringUtils.java,gt,355824,1,ReturnStatement,8629,8629,0,0
68,2c0429aabd2632c8c6a242e4a23d5eb6f46035c0,src/main/java/org/apache/commons/lang3/StringUtils.java,mtdiff,355824,1,ReturnStatement,8629,8629,0,1
68,2c0429aabd2632c8c6a242e4a23d5eb6f46035c0,src/main/java/org/apache/commons/lang3/StringUtils.java,ijm,355824,1,ReturnStatement,8629,8629,0,1
69,3609993fb588017c77fc1781d697dcf1717cd73a,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,gt,9357,0,ExpressionStatement,244,245,0,0
69,3609993fb588017c77fc1781d697dcf1717cd73a,src/test/java/org/apache/commons/lang3/CharUtilsTest.java,ijm,9357,0,ExpressionStatement,244,245,0,1
70,6967edc80c5da73e55dc4e0f53805e6f4dad7c09,src/main/java/org/apache/commons/lang3/event/EventListenerSupport.java,gt,5006,0,EnhancedForStatement,-1,145,1,1
70,6967edc80c5da73e55dc4e0f53805e6f4dad7c09,src/main/java/org/apache/commons/lang3/event/EventListenerSupport.java,mtdiff,5006,0,EnhancedForStatement,-1,145,1,1
70,6967edc80c5da73e55dc4e0f53805e6f4dad7c09,src/main/java/org/apache/commons/lang3/event/EventListenerSupport.java,ijm,5006,0,EnhancedForStatement,-1,145,1,1
71,ce9d841f792bb9403bf6a1d66bac7bc58933297b,src/test/java/org/apache/commons/lang3/ObjectUtilsTest.java,gt,1725,0,TypeDeclaration,48,48,0,1
71,ce9d841f792bb9403bf6a1d66bac7bc58933297b,src/test/java/org/apache/commons/lang3/ObjectUtilsTest.java,mtdiff,1725,0,TypeDeclaration,48,48,0,0
